iter	RMSE
0	1802.722924
1	1640.652907
2	1497.194639
3	1368.880445
4	1258.483425
5	1157.451586
6	1068.606692
7	992.5613185
8	928.0175839
9	872.5296653
10	823.8492408
11	780.4680565
12	741.1946153
13	709.3107713
14	682.0583214
15	657.3268751
16	636.560676
17	619.8428322
18	603.4323814
19	588.3788147
20	576.4477725
21	566.6185246
22	558.5125965
23	550.1086885
24	543.770719
25	537.8973361
26	532.7152278
27	528.5128341
28	524.2808027
29	519.8530529
30	516.3391402
31	513.4562694
32	510.9754799
33	507.8426198
34	505.5755481
35	503.0367545
36	500.5913165
37	498.3779294
38	496.4707781
39	495.261401
40	493.8818048
41	492.652902
42	491.7329371
43	490.140432
44	488.8274149
45	487.4221467
46	486.1494096
47	484.9182237
48	484.2034439
49	482.9663115
50	481.9596857
51	480.4694712
52	479.7764852
53	478.6371688
54	477.6693732
55	476.7871129
56	475.9450346
57	475.0346646
58	474.1310041
59	473.5457307
60	472.41412
61	471.822996
62	471.2870037
63	470.1157431
64	468.9084913
65	468.3686001
66	467.9201969
67	467.3244599
68	466.690028
69	466.1902636
70	465.4856464
71	465.2152738
72	464.9183025
73	464.2805963
74	463.6190038
75	463.2914513
76	462.7552839
77	462.4802025
78	462.2998417
79	461.8097528
80	460.8690608
81	460.3299194
82	459.9330008
83	459.664624
84	458.5157155
85	457.6740502
86	457.1843375
87	456.7412676
88	456.3264704
89	455.9957861
90	455.4361195
91	454.694514
92	454.3322941
93	454.0114203
94	453.5668089
95	453.2860567
96	452.8542222
97	452.240544
98	451.8572179
99	451.0618557
100	450.59396
101	450.0786318
102	449.7178544
103	449.4161534
104	449.2691817
105	448.3444215
106	448.0414876
107	447.3349746
108	447.1418883
109	446.7091539
110	446.2463729
111	445.9177536
112	445.476688
113	445.0518897
114	444.7187706
115	443.8221851
116	443.3989973
117	443.1605503
118	443.0112729
119	442.703613
120	442.414761
121	442.2681593
122	441.6735362
123	441.3620432
124	441.1408496
125	440.8145945
126	440.407323
127	440.2932736
128	440.049512
129	439.6783183
130	439.2261114
131	438.666605
132	438.3050256
133	437.9282703
134	437.7906597
135	437.4341286
136	437.3049415
137	437.0086028
138	436.6436647
139	436.1465746
140	435.8600053
141	435.5988385
142	435.4134099
143	435.1788375
144	434.8956893
145	434.6084682
146	434.1561476
147	433.8567756
148	433.7744383
149	433.1657088
150	433.0193183
151	432.6633026
152	432.3353456
153	432.1246452
154	431.9081016
155	431.8343854
156	431.8286145
157	431.8112929
158	431.7041145
159	431.3243206
160	431.0826711
161	430.7436513
162	430.4762472
163	430.2818258
164	430.0327352
165	429.9437273
166	429.4431745
167	429.4386441
168	429.162297
169	428.875009
170	428.5668286
171	428.3277965
172	427.6918577
173	427.3888565
174	427.0770386
175	426.9950634
176	426.9378708
177	426.862838
178	426.4797903
179	426.4587626
180	426.1504062
181	425.9537568
182	425.6119947
183	425.1993365
184	425.1849383
185	425.1785724
186	425.1752442
187	424.9370373
188	424.933175
189	424.6085884
190	424.0661269
191	423.7641595
192	423.6561286
193	423.6524469
194	423.6497239
195	423.1485326
196	422.8789678
197	422.6909869
198	422.3949244
199	422.0998414
200	421.7717622
201	421.1576026
202	420.9533282
203	420.7202482
204	420.7176569
205	420.46088
206	420.3100882
207	420.095881
208	419.851237
209	419.5654428
210	419.2093188
211	418.9116164
212	418.5936715
213	418.3234086
214	418.0649917
215	417.6735285
216	417.4465681
217	417.1120389
218	416.9417943
219	416.6616812
220	416.4207842
221	416.1998857
222	415.9124871
223	415.5962688
224	415.2423274
225	415.0246301
226	414.7710032
227	414.5870181
228	414.5694495
229	414.2617317
230	414.2012108
231	414.0604112
232	414.0576112
233	413.9023873
234	413.7923383
235	413.5372775
236	413.3932108
237	413.13806
238	412.9069769
239	412.7924491
240	412.4734509
241	412.287292
242	412.0513702
243	412.0479422
244	411.8433025
245	411.5665841
246	411.4916247
247	411.3111134
248	411.2943183
249	411.0037963
250	410.7704442
251	410.5496967
252	410.3254713
253	410.2003476
254	410.198627
255	409.9250154
256	409.9222938
257	409.6297302
258	409.523058
259	409.5092759
260	409.3755893
261	409.3364969
262	409.3135361
263	409.1498946
264	408.9145918
265	408.8059474
266	408.6171892
267	408.47173
268	408.4604314
269	408.3682413
270	408.0924557
271	408.0620599
272	408.0469887
273	407.8915209
274	407.7273223
275	407.5294558
276	407.4953953
277	407.3704658
278	407.3331019
279	407.2860017
280	407.1266903
281	406.6967134
282	406.4761581
283	406.2774177
284	406.0762369
285	405.7959352
286	405.6355636
287	405.1762292
288	405.155173
289	404.8253223
290	404.7391498
291	404.5260258
292	404.2340725
293	404.0723875
294	403.995758
295	403.9252697
296	403.7399874
297	403.6648359
298	403.5968541
299	403.3130812
300	403.0782705
301	403.0401751
302	402.9077782
303	402.7841285
304	402.545718
305	402.4317478
306	402.3440344
307	402.1282165
308	402.1143936
309	401.8936826
310	401.8244901
311	401.4684664
312	401.2860865
313	401.231853
314	401.079319
315	400.9306791
316	400.8459325
317	400.6194125
318	400.4690645
319	400.446484
320	400.2976386
321	400.2691125
322	400.1840289
323	400.1627251
324	400.0423959
325	399.8576615
326	399.8267295
327	399.7429888
328	399.5417554
329	399.4052214
330	399.3077494
331	399.1352343
332	399.0117629
333	398.7003241
334	398.603216
335	398.4202395
336	398.1900819
337	398.0899108
338	397.9031542
339	397.8016503
340	397.6439402
341	397.5600834
342	397.2963375
343	397.1899479
344	396.9779751
345	396.8709654
346	396.7395303
347	396.5626719
348	396.5108899
349	396.3643755
350	396.2814529
351	396.1481678
352	396.0984517
353	396.0035549
354	395.7710791
355	395.5631663
356	395.4622541
357	395.3282092
358	395.2888461
359	395.1950425
360	395.1627293
361	395.0989232
362	394.9275809
363	394.6799711
364	394.5969726
365	394.2947836
366	394.2203604
367	394.1640226
368	394.0514831
369	393.9466016
370	393.8218933
371	393.6187775
372	393.6060818
373	393.471637
374	393.3811428
375	393.3726391
376	393.1399919
377	393.0225996
378	392.77561
379	392.7607245
380	392.5176469
381	392.3970551
382	392.336332
383	392.205708
384	391.9755722
385	391.8245769
386	391.8186693
387	391.6355031
388	391.5656738
389	391.37043
390	391.2374624
391	391.1345495
392	390.9717024
393	390.9347981
394	390.7875513
395	390.7644713
396	390.6166065
397	390.5975472
398	390.4676771
