iter	Passed	Remaining
0	7	9095
1	17	10665
2	24	9830
3	31	9598
4	39	9644
5	46	9504
6	54	9477
7	62	9479
8	69	9398
9	76	9322
10	84	9378
11	92	9327
12	99	9309
13	107	9287
14	114	9263
15	120	9147
16	128	9110
17	135	9119
18	144	9155
19	152	9213
20	161	9268
21	170	9321
22	178	9353
23	188	9424
24	197	9473
25	205	9484
26	213	9470
27	220	9444
28	228	9429
29	236	9415
30	244	9410
31	251	9401
32	259	9374
33	268	9403
34	276	9392
35	283	9373
36	291	9356
37	299	9352
38	307	9355
39	315	9355
40	322	9306
41	328	9270
42	336	9246
43	342	9204
44	348	9156
45	355	9117
46	362	9097
47	369	9074
48	376	9041
49	383	9017
50	389	8982
51	396	8961
52	404	8942
53	411	8925
54	418	8913
55	425	8895
56	432	8868
57	439	8848
58	446	8829
59	453	8812
60	461	8822
61	469	8821
62	477	8815
63	484	8798
64	491	8785
65	499	8786
66	507	8777
67	514	8763
68	521	8752
69	529	8744
70	536	8733
71	544	8721
72	551	8705
73	557	8686
74	565	8671
75	572	8666
76	578	8639
77	585	8621
78	592	8604
79	599	8593
80	607	8583
81	615	8580
82	621	8561
83	628	8543
84	635	8531
85	641	8509
86	648	8487
87	654	8465
88	660	8439
89	666	8416
90	673	8394
91	679	8369
92	685	8346
93	691	8325
94	697	8303
95	703	8281
96	709	8260
97	715	8240
98	722	8226
99	729	8212
100	736	8198
101	742	8184
102	750	8177
103	756	8159
104	762	8142
105	768	8122
106	774	8101
107	780	8081
108	786	8061
109	792	8042
110	799	8030
111	805	8011
112	811	7994
113	817	7977
114	824	7961
115	830	7947
116	836	7931
117	843	7924
118	849	7906
119	855	7884
120	861	7869
121	866	7844
122	873	7829
123	879	7818
124	885	7803
125	892	7795
126	899	7785
127	906	7772
128	912	7758
129	918	7744
130	924	7731
131	930	7712
132	936	7698
133	942	7681
134	948	7661
135	953	7642
136	959	7623
137	965	7609
138	971	7594
139	976	7577
140	982	7560
141	988	7546
142	994	7529
143	999	7513
144	1005	7495
145	1011	7478
146	1017	7471
147	1024	7464
148	1030	7448
149	1037	7440
150	1042	7425
151	1049	7412
152	1055	7400
153	1061	7387
154	1068	7379
155	1074	7366
156	1079	7348
157	1084	7332
158	1090	7318
159	1096	7307
160	1103	7297
161	1109	7286
162	1115	7275
163	1121	7261
164	1127	7247
165	1132	7232
166	1138	7221
167	1144	7205
168	1150	7193
169	1156	7182
170	1162	7171
171	1167	7156
172	1173	7142
173	1179	7129
174	1185	7117
175	1190	7101
176	1195	7087
177	1201	7072
178	1207	7060
179	1212	7047
180	1218	7036
181	1224	7023
182	1230	7012
183	1236	7001
184	1242	6989
185	1247	6974
186	1252	6960
187	1258	6950
188	1263	6934
189	1269	6924
190	1275	6914
191	1281	6903
192	1287	6891
193	1292	6877
194	1298	6862
195	1304	6852
196	1310	6843
197	1316	6833
198	1322	6826
199	1328	6814
200	1334	6803
201	1340	6794
202	1346	6785
203	1352	6777
204	1358	6766
205	1364	6757
206	1370	6747
207	1376	6737
208	1382	6728
209	1389	6720
210	1395	6714
211	1401	6704
212	1407	6695
213	1413	6684
214	1419	6673
215	1425	6663
216	1431	6655
217	1437	6646
218	1443	6635
219	1449	6626
220	1455	6617
221	1461	6610
222	1467	6601
223	1473	6592
224	1479	6581
225	1485	6572
226	1491	6564
227	1497	6557
228	1503	6544
229	1508	6533
230	1514	6522
231	1519	6511
232	1524	6498
233	1530	6489
234	1536	6478
235	1542	6470
236	1548	6460
237	1553	6450
238	1559	6441
239	1565	6432
240	1571	6422
241	1577	6412
242	1582	6402
243	1587	6390
244	1593	6380
245	1599	6371
246	1605	6363
247	1611	6356
248	1617	6345
249	1623	6337
250	1629	6329
251	1635	6322
252	1641	6314
